10000,0.041,0.0183,0.03,0.0247,0.0118
15000,0.04,0.0274,0.05,0.0293,0.0177
20000,0.042,0.0368,0.05,0.0493,0.0237
25000,0.0411,0.0456,0.09,0.0534,0.0293
30000,0.0408,0.0542,0.11,0.0587,0.0355
35000,0.0399,0.0634,0.13,0.0915,0.0413
40000,0.0434,0.0726,0.11,0.0986,0.0473
45000,0.0451,0.0811,0.12,0.1042,0.0533
50000,0.0462,0.0934,0.13,0.1069,0.0591
